Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
trace,ProcessEvent,DAE,0.8312,0.0047,0.0081,0.5217,0.0159,0.9475,0.0488
trace,ProcessEvent,VAE,0.6965,0.0016,0.0021,0.3478,0.0043,0.8678,0.0562
trace,ProcessEvent,Beta-VAE,0.7066,0.0016,0.0023,0.3696,0.0046,0.869,0.056
trace,ProcessEvent,GMVAE,0.7116,0.0017,0.0024,0.3696,0.0048,0.8745,0.057
trace,ProcessEvent,Attention AE,0.7001,0.0017,0.0024,0.3478,0.0047,0.8792,0.0816
trace,ProcessEvent,LSTMAE,0.8728,0.1057,0.1648,0.6304,0.2613,0.9971,0.0653
trace,ProcessEvent,Robust,0.9004,0.1414,0.2955,0.2826,0.2889,0.9989,0.0499
trace,ProcessEvent,Contractive,0.7052,0.0017,0.0023,0.3478,0.0045,0.8752,0.05
trace,ProcessExec,Baseline,0.9721,0.7996,0.973,0.8,0.878,0.9998,0.0485
trace,ProcessExec,Sparse,0.8961,0.0205,0.0272,0.6667,0.0523,0.98,0.049
trace,ProcessExec,Deep SVDD,0.9,0.7566,0.9474,0.8,0.8675,0.9998,0.0245
trace,ProcessExec,DAE,0.9341,0.0513,0.0714,0.6222,0.1281,0.993,0.0479
trace,ProcessExec,VAE,0.9029,0.0138,0.0227,0.6667,0.044,0.976,0.0522
trace,ProcessExec,Beta-VAE,0.8875,0.0127,0.0218,0.6444,0.0422,0.9757,0.0538
trace,ProcessExec,GMVAE,0.9086,0.0185,0.0271,0.6667,0.0521,0.9799,0.0531
trace,ProcessExec,Attention AE,0.8944,0.019,0.0272,0.6667,0.0522,0.9799,0.0799
trace,ProcessExec,LSTMAE,0.9461,0.8269,0.9474,0.8,0.8675,0.9998,0.0633
trace,ProcessExec,Robust,0.9432,0.8261,0.973,0.8,0.878,0.9998,0.049
trace,ProcessExec,Contractive,0.9037,0.0227,0.0337,0.6667,0.0642,0.9839,0.046
trace,ProcessNetflow,Baseline,0.9814,0.5432,0.5763,0.9444,0.7158,0.9799,0.006
trace,ProcessNetflow,Sparse,0.9027,0.2317,0.2143,0.9167,0.3474,0.9078,0.005
trace,ProcessNetflow,Deep SVDD,0.9857,0.6285,0.6667,0.9444,0.7816,0.9859,0.005
trace,ProcessNetflow,DAE,0.9327,0.2732,0.25,0.8611,0.3875,0.9271,0.0051
trace,ProcessNetflow,VAE,0.8591,0.1369,0.1094,0.9722,0.1966,0.7874,0.0054
trace,ProcessNetflow,Beta-VAE,0.8551,0.1335,0.1075,0.8333,0.1905,0.8104,0.0052
trace,ProcessNetflow,GMVAE,0.9106,0.2367,0.2244,0.9722,0.3646,0.9093,0.006
trace,ProcessNetflow,Attention AE,0.9875,0.6236,0.6471,0.9167,0.7586,0.9844,0.006
trace,ProcessNetflow,LSTMAE,0.9874,0.6217,0.6471,0.9167,0.7586,0.9844,0.005
trace,ProcessNetflow,Robust,0.9881,0.6444,0.6735,0.9167,0.7765,0.9859,0.0055
trace,ProcessNetflow,Contractive,0.7533,0.1291,0.0919,0.9722,0.1679,0.742,0.0042
trace,ProcessParent,Baseline,0.7951,0.0717,0.4615,0.1333,0.2069,0.9991,0.0481
trace,ProcessParent,Sparse,0.9224,0.2302,0.3478,0.7111,0.4672,0.9986,0.0455
trace,ProcessParent,Deep SVDD,0.5111,0.0231,1.0,0.0222,0.0435,0.9992,0.024
trace,ProcessParent,DAE,0.9169,0.246,0.3596,0.7111,0.4776,0.9987,0.044
trace,ProcessParent,VAE,0.9075,0.0252,0.044,0.6444,0.0824,0.9878,0.0554
trace,ProcessParent,Beta-VAE,0.9137,0.026,0.0451,0.6444,0.0843,0.9881,0.0532
trace,ProcessParent,GMVAE,0.9215,0.2155,0.3333,0.6667,0.4444,0.9986,0.0515
trace,ProcessParent,Attention AE,0.9215,0.2155,0.3333,0.6667,0.4444,0.9986,0.0735
trace,ProcessParent,LSTMAE,0.892,0.1813,0.5455,0.1333,0.2143,0.9992,0.0603
