Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
theia,ProcessExec,GMVAE,0.7968,0.0062,0.0077,0.53,0.0152,0.8767,0.1357
theia,ProcessExec,Attention AE,0.8001,0.0061,0.0077,0.53,0.0152,0.8766,0.726
theia,ProcessExec,LSTMAE,0.9776,0.5541,0.6093,0.92,0.7331,0.9988,1.0422
theia,ProcessExec,Robust,0.9596,0.7208,0.8,0.92,0.8558,0.9994,0.1338
theia,ProcessExec,Contractive,0.8035,0.0063,0.0077,0.53,0.0152,0.8766,0.1191
theia,ProcessNetflow,Baseline,0.995,0.9126,0.9252,0.99,0.9565,0.9991,0.0274
theia,ProcessNetflow,Sparse,0.9676,0.2452,0.3288,0.96,0.4898,0.9794,0.03
theia,ProcessNetflow,Deep SVDD,0.9868,0.7639,0.9429,0.66,0.7765,0.9961,0.014
theia,ProcessNetflow,DAE,0.9922,0.8355,0.7059,0.96,0.8136,0.9955,0.032
theia,ProcessNetflow,VAE,0.9659,0.2371,0.3288,0.96,0.4898,0.9794,0.031
theia,ProcessNetflow,Beta-VAE,0.9658,0.2311,0.3288,0.96,0.4898,0.9794,0.0334
theia,ProcessNetflow,GMVAE,0.9667,0.25,0.3288,0.96,0.4898,0.9794,0.028
theia,ProcessNetflow,Attention AE,0.9662,0.2454,0.3288,0.96,0.4898,0.9794,0.12
theia,ProcessNetflow,LSTMAE,0.9916,0.916,0.9245,0.98,0.9515,0.999,0.094
theia,ProcessNetflow,Robust,0.9915,0.9073,0.9083,0.99,0.9474,0.9989,0.0334
theia,ProcessNetflow,Contractive,0.9676,0.2454,0.3288,0.96,0.4898,0.9794,0.0235
theia,ProcessParent,Baseline,0.7925,0.4247,0.7564,0.59,0.6629,0.9989,0.121
theia,ProcessParent,Sparse,0.9073,0.0247,0.0203,0.95,0.0398,0.918,0.12
theia,ProcessParent,Deep SVDD,0.5,0.0018,0.0018,1.0,0.0036,0.0018,0.0555
theia,ProcessParent,DAE,0.9163,0.1589,0.3122,0.59,0.4083,0.9969,0.1391
theia,ProcessParent,VAE,0.8946,0.0123,0.0173,0.93,0.0339,0.9053,0.128
theia,ProcessParent,Beta-VAE,0.8972,0.0123,0.0167,0.89,0.0327,0.9059,0.1257
theia,ProcessParent,GMVAE,0.9025,0.0139,0.0176,0.95,0.0346,0.9053,0.128
theia,ProcessParent,Attention AE,0.9051,0.0153,0.0203,0.95,0.0398,0.918,0.6695
theia,ProcessParent,LSTMAE,0.9226,0.5088,0.8806,0.59,0.7066,0.9991,1.0277
theia,ProcessParent,Robust,0.9461,0.557,0.9516,0.59,0.7284,0.9992,0.12
theia,ProcessParent,Contractive,0.9064,0.0271,0.0213,0.37,0.0403,0.9685,0.1205
trace,ProcessAll,Baseline,0.9982,0.3513,0.3902,0.6957,0.5,0.9989,0.1588
trace,ProcessAll,Sparse,0.7615,0.0019,0.0024,0.8478,0.0048,0.7125,0.1374
trace,ProcessAll,Deep SVDD,0.837,0.6742,1.0,0.6739,0.8052,0.9997,0.056
trace,ProcessAll,DAE,0.9698,0.0531,0.1024,0.2826,0.1503,0.9974,0.1215
trace,ProcessAll,VAE,0.7598,0.0019,0.0023,0.7609,0.0046,0.729,0.13
trace,ProcessAll,Beta-VAE,0.7565,0.0017,0.0023,0.7609,0.0046,0.7301,0.136
trace,ProcessAll,GMVAE,0.7633,0.0019,0.0024,0.8261,0.0049,0.7255,0.1339
trace,ProcessAll,Attention AE,0.762,0.0019,0.0024,0.8478,0.0049,0.718,0.6864
trace,ProcessAll,LSTMAE,0.9973,0.3367,0.3953,0.7391,0.5152,0.9989,1.2467
trace,ProcessAll,Robust,0.9985,0.391,0.4795,0.7609,0.5882,0.9991,0.1479
trace,ProcessAll,Contractive,0.7663,0.002,0.0024,0.6957,0.0047,0.7609,0.1534
trace,ProcessEvent,Baseline,0.8825,0.2858,0.5102,0.5435,0.5263,0.9992,0.1245
trace,ProcessEvent,Sparse,0.7369,0.0019,0.0028,0.2391,0.0055,0.9302,0.1262
trace,ProcessEvent,Deep SVDD,0.5109,0.0225,1.0,0.0217,0.0426,0.9992,0.065
trace,ProcessEvent,DAE,0.8393,0.0086,0.0181,0.413,0.0347,0.9813,0.1342
trace,ProcessEvent,VAE,0.7365,0.0018,0.0026,0.2826,0.0052,0.9112,0.1349
trace,ProcessEvent,Beta-VAE,0.7219,0.0017,0.0022,0.2391,0.0044,0.9122,0.134
trace,ProcessEvent,GMVAE,0.7495,0.0021,0.0028,0.2391,0.0056,0.9302,0.1262
trace,ProcessEvent,Attention AE,0.7622,0.0022,0.0028,0.2391,0.0056,0.9303,0.6804
trace,ProcessEvent,LSTMAE,0.8714,0.3013,0.4615,0.5217,0.4898,0.9991,1.1135
trace,ProcessEvent,Robust,0.9051,0.128,0.1818,0.3043,0.2276,0.9983,0.1424
trace,ProcessEvent,Contractive,0.7443,0.0021,0.0028,0.2391,0.0055,0.9298,0.142
trace,ProcessExec,Baseline,0.921,0.765,0.9688,0.6889,0.8052,0.9997,0.1387
trace,ProcessExec,Sparse,0.7797,0.0047,0.0364,0.0444,0.04,0.9982,0.1366
