Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
theia,ProcessEvent,Beta-VAE,0.6539,0.0031,0.0073,0.02,0.0107,0.9932,0.0484
theia,ProcessEvent,GMVAE,0.9983,0.6883,0.8315,0.74,0.7831,0.9992,0.054
theia,ProcessEvent,Attention AE,0.6439,0.0039,0.006,0.45,0.0118,0.8605,0.055
theia,ProcessEvent,LSTMAE,0.9982,0.6797,0.8056,0.58,0.6744,0.999,0.0489
theia,ProcessEvent,Robust,0.9994,0.8375,0.8444,0.76,0.8,0.9993,0.0406
theia,ProcessEvent,Contractive,0.6413,0.004,0.0062,0.45,0.0122,0.8659,0.041
theia,ProcessExec,Baseline,0.9752,0.8065,0.9125,0.73,0.8111,0.9994,0.043
theia,ProcessExec,Sparse,0.8473,0.0152,0.0311,0.35,0.0571,0.9793,0.0424
theia,ProcessExec,Deep SVDD,0.8649,0.6438,0.8588,0.73,0.7892,0.9993,0.0223
theia,ProcessExec,DAE,0.9537,0.3209,0.3007,0.92,0.4532,0.996,0.042
theia,ProcessExec,VAE,0.833,0.0103,0.0245,0.34,0.0456,0.9745,0.05
theia,ProcessExec,Beta-VAE,0.8353,0.0097,0.0248,0.35,0.0463,0.9741,0.0483
theia,ProcessExec,GMVAE,0.9503,0.5935,0.575,0.92,0.7077,0.9986,0.0544
theia,ProcessExec,Attention AE,0.8463,0.0155,0.0312,0.35,0.0573,0.9793,0.0545
theia,ProcessExec,LSTMAE,0.971,0.831,0.8679,0.92,0.8932,0.9996,0.049
theia,ProcessExec,Robust,0.9645,0.8012,0.8932,0.92,0.9064,0.9997,0.042
theia,ProcessExec,Contractive,0.8359,0.015,0.0311,0.35,0.0571,0.9793,0.0425
theia,ProcessNetflow,Baseline,0.9919,0.7817,0.9296,0.66,0.7719,0.996,0.011
theia,ProcessNetflow,Sparse,0.7929,0.035,0.0466,0.96,0.0889,0.797,0.01
theia,ProcessNetflow,Deep SVDD,0.9956,0.8811,0.7444,0.99,0.8498,0.9964,0.007
theia,ProcessNetflow,DAE,0.9924,0.9189,0.9368,0.89,0.9128,0.9982,0.01
theia,ProcessNetflow,VAE,0.7931,0.0246,0.0463,0.97,0.0883,0.7934,0.012
theia,ProcessNetflow,Beta-VAE,0.8488,0.0313,0.0493,0.89,0.0933,0.8216,0.011
theia,ProcessNetflow,GMVAE,0.9765,0.205,0.3333,0.99,0.4987,0.9795,0.0132
theia,ProcessNetflow,Attention AE,0.7907,0.0346,0.0464,0.96,0.0886,0.7961,0.0133
theia,ProcessNetflow,LSTMAE,0.996,0.9221,0.9167,0.99,0.9519,0.999,0.011
theia,ProcessNetflow,Robust,0.9889,0.7654,0.9296,0.66,0.7719,0.996,0.0101
theia,ProcessNetflow,Contractive,0.7921,0.0348,0.0466,0.96,0.0889,0.797,0.011
theia,ProcessParent,Baseline,0.9041,0.2183,0.4338,0.59,0.5,0.9979,0.0448
theia,ProcessParent,Sparse,0.9137,0.0324,0.0604,0.59,0.1096,0.9828,0.0415
theia,ProcessParent,Deep SVDD,0.5,0.0018,0.0018,1.0,0.0036,0.0018,0.0225
theia,ProcessParent,DAE,0.7102,0.1221,0.2521,0.59,0.3533,0.9961,0.042
theia,ProcessParent,VAE,0.9026,0.0168,0.0355,0.54,0.0666,0.9729,0.0505
theia,ProcessParent,Beta-VAE,0.9086,0.0197,0.0397,0.56,0.0742,0.975,0.051
theia,ProcessParent,GMVAE,0.9136,0.0328,0.0611,0.59,0.1108,0.9831,0.0464
theia,ProcessParent,Attention AE,0.871,0.0322,0.0421,0.59,0.0786,0.9752,0.0557
theia,ProcessParent,LSTMAE,0.9038,0.2668,0.5221,0.59,0.554,0.9983,0.047
theia,ProcessParent,Robust,0.9484,0.2406,0.4574,0.59,0.5153,0.998,0.0415
theia,ProcessParent,Contractive,0.9347,0.0371,0.063,0.58,0.1136,0.9838,0.042
trace,ProcessEvent,Baseline,0.8627,0.1285,0.2727,0.2609,0.2667,0.9988,0.0439
trace,ProcessEvent,Sparse,0.5758,0.0011,0.0017,0.5652,0.0034,0.7265,0.045
trace,ProcessEvent,Deep SVDD,0.5,0.0044,0.1667,0.0217,0.0385,0.9991,0.0215
trace,ProcessEvent,DAE,0.858,0.0157,0.0354,0.3478,0.0643,0.9917,0.0461
trace,ProcessEvent,VAE,0.5445,0.001,0.0015,0.5217,0.003,0.7182,0.0497
trace,ProcessEvent,Beta-VAE,0.5746,0.001,0.0015,0.5217,0.003,0.721,0.0525
trace,ProcessEvent,GMVAE,0.602,0.0012,0.0016,0.5217,0.0032,0.7334,0.0502
trace,ProcessEvent,Attention AE,0.5499,0.001,0.0016,0.5,0.0032,0.7463,0.0602
trace,ProcessEvent,LSTMAE,0.8781,0.1211,0.2941,0.3261,0.3093,0.9988,0.0505
trace,ProcessEvent,Robust,0.8795,0.1197,0.1711,0.2826,0.2131,0.9983,0.0445
trace,ProcessEvent,Contractive,0.564,0.0011,0.0017,0.5652,0.0033,0.7255,0.0435
trace,ProcessExec,Baseline,0.9438,0.8212,1.0,0.8,0.8889,0.9998,0.042
trace,ProcessExec,Sparse,0.9191,0.0569,0.0794,0.6667,0.1418,0.9933,0.0414
trace,ProcessExec,Deep SVDD,0.9,0.8002,1.0,0.8,0.8889,0.9998,0.0215
trace,ProcessExec,DAE,0.9743,0.1468,0.183,0.6222,0.2828,0.9974,0.041
trace,ProcessExec,VAE,0.9343,0.0284,0.0494,0.6444,0.0918,0.9894,0.0473
trace,ProcessExec,Beta-VAE,0.9314,0.0375,0.0658,0.5778,0.1182,0.9928,0.0461
trace,ProcessExec,GMVAE,0.9503,0.4963,0.6364,0.6222,0.6292,0.9994,0.053
trace,ProcessExec,Attention AE,0.935,0.0956,0.0794,0.6667,0.1418,0.9933,0.0535
trace,ProcessExec,LSTMAE,0.9549,0.8265,1.0,0.8,0.8889,0.9998,0.0473
trace,ProcessExec,Robust,0.962,0.8334,1.0,0.8,0.8889,0.9998,0.042
trace,ProcessExec,Contractive,0.9339,0.0959,0.0794,0.6667,0.1418,0.9933,0.041
trace,ProcessNetflow,Baseline,0.9894,0.6714,0.7111,0.8889,0.7901,0.9874,0.005
trace,ProcessNetflow,Sparse,0.9303,0.2673,0.2441,0.8611,0.3804,0.9249,0.005
trace,ProcessNetflow,Deep SVDD,0.9879,0.6698,0.6667,0.8889,0.7619,0.9851,0.004
trace,ProcessNetflow,DAE,0.9862,0.6109,0.66,0.9167,0.7674,0.9851,0.004
trace,ProcessNetflow,VAE,0.9341,0.2096,0.2279,0.8611,0.3605,0.9182,0.004
trace,ProcessNetflow,Beta-VAE,0.9356,0.2128,0.2194,0.9444,0.356,0.9086,0.005
trace,ProcessNetflow,GMVAE,0.9887,0.5679,0.6875,0.9167,0.7857,0.9866,0.005
trace,ProcessNetflow,Attention AE,0.9822,0.5379,0.5667,0.9444,0.7083,0.9792,0.0051
trace,ProcessNetflow,LSTMAE,0.9772,0.4849,0.5075,0.9444,0.6602,0.974,0.0052
trace,ProcessNetflow,Robust,0.9817,0.5391,0.5862,0.9444,0.7234,0.9807,0.004
trace,ProcessNetflow,Contractive,0.9222,0.2501,0.2209,1.0,0.3618,0.9056,0.005
trace,ProcessParent,Baseline,0.9702,0.1376,0.3571,0.1111,0.1695,0.9991,0.04
trace,ProcessParent,Sparse,0.7366,0.0483,0.5,0.0889,0.1509,0.9991,0.0385
trace,ProcessParent,Deep SVDD,0.5111,0.0231,1.0,0.0222,0.0435,0.9992,0.02
trace,ProcessParent,DAE,0.9443,0.0996,0.1039,0.7778,0.1832,0.9941,0.0417
trace,ProcessParent,VAE,0.7444,0.0038,0.0205,0.0889,0.0333,0.9956,0.047
trace,ProcessParent,Beta-VAE,0.7703,0.0049,0.0256,0.1111,0.0417,0.9956,0.049
trace,ProcessParent,GMVAE,0.9186,0.1582,0.2099,0.8444,0.3363,0.9972,0.0505
trace,ProcessParent,Attention AE,0.7837,0.0633,0.5,0.0889,0.1509,0.9991,0.0523
trace,ProcessParent,LSTMAE,0.9462,0.2905,0.322,0.8444,0.4663,0.9984,0.0454
trace,ProcessParent,Robust,0.9439,0.2661,0.2249,0.8444,0.3551,0.9974,0.0416
trace,ProcessParent,Contractive,0.7314,0.0594,0.5,0.0889,0.1509,0.9991,0.04
