Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
trace,ProcessNetflow,Attention AE,0.9702,0.408,0.4459,0.9167,0.6,0.9673,0.008
trace,ProcessNetflow,LSTMAE,0.9829,0.5359,0.6,0.9167,0.7253,0.9814,0.005
trace,ProcessNetflow,Robust,0.9746,0.4467,0.4848,0.8889,0.6275,0.9717,0.004
trace,ProcessNetflow,Contractive,0.9118,0.222,0.2208,0.9444,0.3579,0.9093,0.004
trace,ProcessParent,Baseline,0.4251,0.0788,0.3214,0.2,0.2466,0.999,0.045
trace,ProcessParent,Sparse,0.882,0.2798,0.4394,0.6444,0.5225,0.999,0.046
trace,ProcessParent,Deep SVDD,0.5111,0.0082,0.3333,0.0222,0.0417,0.9991,0.024
trace,ProcessParent,DAE,0.9426,0.3005,0.4394,0.6444,0.5225,0.999,0.0458
trace,ProcessParent,VAE,0.8769,0.0229,0.0442,0.6222,0.0825,0.9882,0.0519
trace,ProcessParent,Beta-VAE,0.885,0.0236,0.0438,0.6222,0.0819,0.9881,0.0507
trace,ProcessParent,GMVAE,0.9035,0.2637,0.4394,0.6444,0.5225,0.999,0.0577
trace,ProcessParent,Attention AE,0.8783,0.2797,0.4394,0.6444,0.5225,0.999,0.0725
trace,ProcessParent,LSTMAE,0.9491,0.1225,0.35,0.1556,0.2154,0.999,0.06
trace,ProcessParent,Robust,0.9571,0.1309,0.3889,0.1556,0.2222,0.9991,0.0481
